Estagio,TCH
4,47.83
3,37.84
1,86.8
1,86.76
1,85.76
1,76.68
2,48.19
2,47.96
2,49.33
2,50.7
3,42.7
3,38.88
3,38.53
2,45.49
2,44.35
5,26.84
2,45.5
2,46.73
3,38.89
2,50.08
4,47.41
3,47.41
5,42.67
5,48.42
5,48.39
2,68.3
5,47.64
3,52.3
4,62.2
4,62.21
5,36.35
4,36.35
1,82
4,54.2
4,50.07
3,47.64
2,60.1
2,75.2
5,39.55
4,62.3
4,65.29
2,68.2
6,62.96
1,72.52
2,77.93
1,80.5
1,62.7
5,61.58
5,69.8
6,53.54
6,53.52
5,51.8
5,51.76
5,51.82
5,51.79
5,51.83
4,51.78
4,47.71
4,47.67
4,47.7
4,47.77
5,58.49
5,57
1,106.22
1,81.5
5,36.18
5,36.19
5,36.17
3,57.36
4,55
2,57.54
2,67.96
3,54.42
5,43.19
4,52.79
4,52.77
4,52.78
4,52.76
4,52.81
1,77
4,39.29
4,53.27
4,39.82
5,44.6
2,71.2
6,30.37
6,30.34
6,62.82
6,30.35
6,30.33
6,30.38
6,27.19
6,29.77
6,29.76
6,29.72
6,29.81
6,29.75
2,68.7
1,68.7
1,80.95
2,35.93
2,38.6
3,31.85
6,22.52
6,22.54
6,22.53
6,22.57
4,54.3
1,77.61
1,77.59
1,77.62
1,77.57
1,77.6
1,77.69
2,43.7
1,55.76
1,53.5
1,66.8
2,63.56
5,23.3
3,76.54
5,23.31
5,23.32
5,37.32
4,38.7
2,82
5,36.64
5,36.65
2,83.6
5,36.63
5,36.71
2,69.79
2,71.71
2,69.81
2,69.83
2,69.91
2,54.81
2,54.83
4,42.93
4,42.9
2,50.12
4,42.98
5,39.03
5,39
2,56.19
2,47.98
5,38.99
3,60
5,37.45
3,58
5,41.34
6,38.55
5,41.26
6,38.56
5,42.91
5,43.09
6,43.66
5,38.39
5,38.45
5,39.47
5,39.4
5,39.43
6,40.41
6,39.96
6,40.15
6,40.49
6,40.38
5,43.56
6,53.57
6,40.47
6,40.32
6,40.37
6,40.71
6,41.12
2,71.38
3,29.87
3,41.87
1,63.75
2,76.75
2,76.71
1,81.96
1,77.06
3,65.7
4,59.87
2,77.02
2,44.6
3,47.35
5,32.69
3,44.32
3,44.24
4,44.28
5,29.43
5,29.44
5,29.46
6,21.57
6,22.16
6,22.2
6,22.21
5,25.46
1,69.96
4,53.91
4,52.19
4,52.2
4,53.92
1,69.95
1,69.94
1,69.97
1,69.89
3,55.44
2,64.61
2,40.11
6,20.12
2,38.98
2,37.93
5,55.44
1,68
1,71
6,49.4
6,49.37
6,49.35
1,96
1,97
3,40.47
3,45.67
2,45.67
2,42.23
2,47.4
2,30.18
2,58.95
2,58.94
2,58.92
3,41.99
3,42.02
3,42.01
3,42
3,38.56
3,42.41
2,55.67
4,51.67
1,71.34
5,41.99
3,76.34
2,75.67
1,83.22
1,84.86
2,51.13
1,103.18
1,73.71
1,73.68
1,73.7
1,73.73
1,73.76
1,54.85
1,54.8
1,54.81
1,54.77
1,61.71
1,61.72
1,61.65
1,61.63
1,61.7
1,61.77
3,63.54
2,67.46
4,63.45
1,58.21
1,58.14
1,58.17
1,58.18
1,72.4
1,58.16
1,58.27
1,86.71
1,86.67
1,66.45
6,31.86
6,31.88
