"PassengerId","Survived","Pclass","Sex","Age","Fare","has_family_member","pclass_1","pclass_2","person_female","person_child"
1,0,2,"male",22,7.25,1,0,0,0,0
2,1,1,"female",38,71.2833,1,1,0,1,0
3,1,2,"female",26,7.925,0,0,0,1,0
4,1,1,"female",35,53.1,1,1,0,1,0
5,0,2,"male",35,8.05,0,0,0,0,0
6,0,2,"male",21,8.4583,0,0,0,0,0
7,0,1,"male",54,51.8625,0,1,0,0,0
8,0,2,"male",2,21.075,1,0,0,0,1
9,1,2,"female",27,11.1333,1,0,0,1,0
10,1,2,"female",14,30.0708,1,0,1,0,1
11,1,2,"female",4,16.7,1,0,0,0,1
12,1,1,"female",58,26.55,0,1,0,1,0
13,0,2,"male",20,8.05,0,0,0,0,0
14,0,2,"male",39,31.275,1,0,0,0,0
15,0,2,"female",14,7.8542,0,0,0,0,1
16,1,2,"female",55,16,0,0,1,1,0
17,0,2,"male",2,29.125,1,0,0,0,1
18,1,2,"male",21,13,0,0,1,0,0
19,0,2,"female",31,18,1,0,0,1,0
20,1,2,"female",15,7.225,0,0,0,0,1
21,0,2,"male",35,26,0,0,1,0,0
22,1,2,"male",34,13,0,0,1,0,0
23,1,2,"female",15,8.0292,0,0,0,0,1
24,1,1,"male",28,35.5,0,1,0,0,0
25,0,2,"female",8,21.075,1,0,0,0,1
26,1,2,"female",38,31.3875,1,0,0,1,0
27,0,2,"male",25,7.225,0,0,0,0,0
28,0,1,"male",19,263,1,1,0,0,0
29,1,2,"female",24,7.8792,0,0,0,1,0
30,0,2,"male",20,7.8958,0,0,0,0,0
31,0,1,"male",40,27.7208,0,1,0,0,0
32,1,1,"female",28,146.5208,1,1,0,1,0
33,1,2,"female",20,7.75,0,0,0,1,0
34,0,2,"male",66,10.5,0,0,1,0,0
35,0,1,"male",28,82.1708,1,1,0,0,0
36,0,1,"male",42,52,1,1,0,0,0
37,1,2,"male",30,7.2292,0,0,0,0,0
38,0,2,"male",21,8.05,0,0,0,0,0
39,0,2,"female",18,18,1,0,0,1,0
40,1,2,"female",14,11.2417,1,0,0,0,1
41,0,2,"female",40,9.475,1,0,0,1,0
42,0,2,"female",27,21,1,0,1,1,0
43,0,2,"male",25,7.8958,0,0,0,0,0
44,1,2,"female",3,41.5792,1,0,1,0,1
45,1,2,"female",19,7.8792,0,0,0,1,0
46,0,2,"male",24,8.05,0,0,0,0,0
47,0,2,"male",20,15.5,1,0,0,0,0
48,1,2,"female",15,7.75,0,0,0,0,1
49,0,2,"male",24,21.6792,1,0,0,0,0
50,0,2,"female",18,17.8,1,0,0,1,0
51,0,2,"male",7,39.6875,1,0,0,0,1
