"MinTemp","MaxTemp","Rainfall","Humidity9am","Humidity3pm","RainTomorrow"
12.9,22.4,0.4,64,60,0
9.9,34.2,0,63,19,0
14.5,20.8,0,57,68,0
20.6,29.9,0.4,68,73,0
15.3,29.2,0,35,17,0
15.3,32.3,0,39,16,0
6.2,18.2,0,75,52,0
4.3,21.2,0,76,36,0
12.9,17.1,12,87,51,0
21.4,31.7,0.2,56,45,0
15.4,29.1,0,63,63,0
21.2,31.6,0,69,66,0
11.1,22.9,0,72,51,0
15.1,29.9,0.2,95,85,0
2,14.7,0.2,96,66,1
23.5,30.7,0.2,77,71,1
7.9,23.1,0,53,52,0
9.7,13.7,4.6,78,80,1
11.9,23.3,5.8,100,60,0
7.7,14.9,8,87,64,1
9,29.7,0,61,17,0
12.9,26.7,0,57,45,0
11.7,23.9,0,38,24,0
9.5,19.6,7,98,73,1
19.9,25.4,4.8,87,79,0
2.9,14.6,1.4,99,72,0
20.6,26.3,68,87,88,1
8.2,24,0,27,18,0
12.9,22.3,0,45,32,0
12.4,24.5,1.2,77,45,0
26.7,32.7,1.8,71,71,1
7.2,12.4,2.8,94,89,0
12.6,24.8,0,49,33,0
12,16.5,1.2,100,99,1
16.8,23,1,86,79,1
9.7,24.3,0,51,25,0
-3.8,1.6,9,100,85,0
5.9,13.9,0.4,71,65,1
7.5,23.7,0,82,51,0
2.9,17.2,0,100,65,0
18.3,28.6,0,71,57,0
5.7,27,0,55,24,0
9.1,23.8,0,44,51,0
7.9,11.4,0,70,59,0
14.2,28.3,0,53,27,0
8,24.9,0,75,30,0
13.4,18.9,0,76,58,0
3.7,15.1,0,88,48,0
19.8,29,0,64,68,0
13.4,34.4,0,78,20,0
22.1,26.4,0,80,74,0
15.9,32.5,0.2,58,22,0
9.8,22,0,71,43,0
1.9,19.3,0,82,40,0
10,12.5,23.8,72,64,0
4.3,17.1,0,97,46,0
10.9,26.5,0,33,19,0
10.5,19.5,0,56,53,0
16,33.7,0,23,8,0
5.6,21,0,40,25,0
10.6,22.6,0,70,45,0
18.5,27.1,9.2,77,86,1
9.9,15,0.4,70,43,0
16.2,21.8,0,72,55,0
14.6,23,13.2,87,67,0
23.9,33.1,21.4,79,62,0
20.5,24.9,0,82,76,0
11.3,22,2.4,74,63,0
7,22,0,73,43,0
13.6,27.3,0,75,39,0
8.1,13.5,0,65,58,0
18.4,24.6,0.2,78,81,0
16.5,26.8,0,79,64,1
13.7,20,17.2,91,92,1
18.7,26.5,0,68,49,0
27.3,42.9,0,23,14,0
21,27.7,0,78,64,0
4.6,12.5,0.4,70,89,1
15.9,27.4,0,64,25,0
14.4,22,0.8,75,59,0
