"PassengerId","Survived","Age","Fare","has_family_member","pclass_1","pclass_2","person_female","person_child"
1,0,22,7.25,1,0,0,0,0
2,1,38,71.2833,1,1,0,1,0
3,1,26,7.925,0,0,0,1,0
4,1,35,53.1,1,1,0,1,0
5,0,35,8.05,0,0,0,0,0
6,0,18,8.4583,0,0,0,0,0
7,0,54,51.8625,0,1,0,0,0
8,0,2,21.075,1,0,0,0,1
9,1,27,11.1333,1,0,0,1,0
10,1,14,30.0708,1,0,1,0,1
11,1,4,16.7,1,0,0,0,1
12,1,58,26.55,0,1,0,1,0
13,0,20,8.05,0,0,0,0,0
14,0,39,31.275,1,0,0,0,0
15,0,14,7.8542,0,0,0,0,1
16,1,55,16,0,0,1,1,0
17,0,2,29.125,1,0,0,0,1
18,1,17,13,0,0,1,0,0
19,0,31,18,1,0,0,1,0
20,1,28,7.225,0,0,0,1,0
21,0,35,26,0,0,1,0,0
22,1,34,13,0,0,1,0,0
23,1,15,8.0292,0,0,0,0,1
24,1,28,35.5,0,1,0,0,0
25,0,8,21.075,1,0,0,0,1
26,1,38,31.3875,1,0,0,1,0
27,0,29,7.225,0,0,0,0,0
28,0,19,263,1,1,0,0,0
29,1,17,7.8792,0,0,0,1,0
30,0,17,7.8958,0,0,0,0,0
31,0,40,27.7208,0,1,0,0,0
32,1,27,146.5208,1,1,0,1,0
33,1,18,7.75,0,0,0,1,0
34,0,66,10.5,0,0,1,0,0
35,0,28,82.1708,1,1,0,0,0
36,0,42,52,1,1,0,0,0
37,1,30,7.2292,0,0,0,0,0
38,0,21,8.05,0,0,0,0,0
39,0,18,18,1,0,0,1,0
40,1,14,11.2417,1,0,0,0,1
41,0,40,9.475,1,0,0,1,0
42,0,27,21,1,0,1,1,0
43,0,15,7.8958,0,0,0,0,1
44,1,3,41.5792,1,0,1,0,1
45,1,19,7.8792,0,0,0,1,0
46,0,21,8.05,0,0,0,0,0
47,0,23,15.5,1,0,0,0,0
48,1,21,7.75,0,0,0,1,0
49,0,26,21.6792,1,0,0,0,0
50,0,18,17.8,1,0,0,1,0
51,0,7,39.6875,1,0,0,0,1
52,0,21,7.8,0,0,0,0,0
53,1,49,76.7292,1,1,0,1,0
54,1,29,26,1,0,1,1,0
55,0,65,61.9792,1,1,0,0,0
56,1,20,35.5,0,1,0,0,0
57,1,21,10.5,0,0,1,1,0
58,0,28.5,7.2292,0,0,0,0,0
59,1,5,27.75,1,0,1,0,1
60,0,11,46.9,1,0,0,0,1
61,0,22,7.2292,0,0,0,0,0
62,1,38,80,0,1,0,1,0
63,0,45,83.475,1,1,0,0,0
64,0,4,27.9,1,0,0,0,1
65,0,27,27.7208,0,1,0,0,0
66,1,23,15.2458,1,0,0,0,0
67,1,29,10.5,0,0,1,1,0
68,0,19,8.1583,0,0,0,0,0
69,1,17,7.925,1,0,0,1,0
70,0,26,8.6625,1,0,0,0,0
71,0,32,10.5,0,0,1,0,0
72,0,16,46.9,1,0,0,0,1
73,0,21,73.5,0,0,1,0,0
74,0,26,14.4542,1,0,0,0,0
75,1,32,56.4958,0,0,0,0,0
76,0,25,7.65,0,0,0,0,0
77,0,29,7.8958,0,0,0,0,0
78,0,23,8.05,0,0,0,0,0
79,1,0.83,29,1,0,1,0,1
80,1,30,12.475,0,0,0,1,0
81,0,22,9,0,0,0,0,0
82,1,29,9.5,0,0,0,0,0
83,1,23,7.7875,0,0,0,1,0
84,0,28,47.1,0,1,0,0,0
85,1,17,10.5,0,0,1,1,0
86,1,33,15.85,1,0,0,1,0
87,0,16,34.375,1,0,0,0,1
88,0,21,8.05,0,0,0,0,0
89,1,23,263,1,1,0,1,0
90,0,24,8.05,0,0,0,0,0
91,0,29,8.05,0,0,0,0,0
92,0,20,7.8542,0,0,0,0,0
93,0,46,61.175,1,1,0,0,0
94,0,26,20.575,1,0,0,0,0
95,0,59,7.25,0,0,0,0,0
96,0,24,8.05,0,0,0,0,0
97,0,71,34.6542,0,1,0,0,0
98,1,23,63.3583,1,1,0,0,0
99,1,34,23,1,0,1,1,0
100,0,34,26,1,0,1,0,0
101,0,28,7.8958,0,0,0,1,0
102,0,22,7.8958,0,0,0,0,0
103,0,21,77.2875,1,1,0,0,0
104,0,33,8.6542,0,0,0,0,0
105,0,37,7.925,1,0,0,0,0
106,0,28,7.8958,0,0,0,0,0
107,1,21,7.65,0,0,0,1,0
108,1,23,7.775,0,0,0,0,0
109,0,38,7.8958,0,0,0,0,0
110,1,22,24.15,1,0,0,1,0
111,0,47,52,0,1,0,0,0
112,0,14.5,14.4542,1,0,0,0,1
113,0,22,8.05,0,0,0,0,0
114,0,20,9.825,1,0,0,1,0
115,0,17,14.4583,0,0,0,1,0
116,0,21,7.925,0,0,0,0,0
117,0,70.5,7.75,0,0,0,0,0
118,0,29,21,1,0,1,0,0
119,0,24,247.5208,1,1,0,0,0
120,0,2,31.275,1,0,0,0,1
121,0,21,73.5,1,0,1,0,0
122,0,23,8.05,0,0,0,0,0
123,0,32.5,30.0708,1,0,1,0,0
124,1,32.5,13,0,0,1,1,0
125,0,54,77.2875,1,1,0,0,0
126,1,12,11.2417,1,0,0,0,1
127,0,29,7.75,0,0,0,0,0
128,1,24,7.1417,0,0,0,0,0
129,1,28,22.3583,1,0,0,1,0
130,0,45,6.975,0,0,0,0,0
131,0,33,7.8958,0,0,0,0,0
132,0,20,7.05,0,0,0,0,0
133,0,47,14.5,1,0,0,1,0
134,1,29,26,1,0,1,1,0
135,0,25,13,0,0,1,0,0
136,0,23,15.0458,0,0,1,0,0
137,1,19,26.2833,1,1,0,1,0
138,0,37,53.1,1,1,0,0,0
139,0,16,9.2167,0,0,0,0,1
140,0,24,79.2,0,1,0,0,0
141,0,27,15.2458,1,0,0,1,0
142,1,22,7.75,0,0,0,1,0
143,1,24,15.85,1,0,0,1,0
144,0,19,6.75,0,0,0,0,0
145,0,18,11.5,0,0,1,0,0
146,0,19,36.75,1,0,1,0,0
147,1,27,7.7958,0,0,0,0,0
148,0,9,34.375,1,0,0,0,1
149,0,36.5,26,1,0,1,0,0
150,0,42,13,0,0,1,0,0
151,0,51,12.525,0,0,1,0,0
152,1,22,66.6,1,1,0,1,0
153,0,55.5,8.05,0,0,0,0,0
154,0,40.5,14.5,1,0,0,0,0
155,0,19,7.3125,0,0,0,0,0
156,0,51,61.3792,1,1,0,0,0
157,1,16,7.7333,0,0,0,0,1
