"","MM1","MM2","MM3","MM4","Class"
"1",92,112,118,85,FALSE
"2",84,103,104,81,FALSE
"3",84,99,104,78,FALSE
"4",84,99,104,81,FALSE
"5",76,99,104,81,FALSE
"6",76,99,108,85,FALSE
"7",80,112,118,88,FALSE
"8",80,107,113,85,FALSE
"9",76,91,104,74,FALSE
"10",76,95,100,78,FALSE
"11",76,91,100,74,FALSE
"12",76,87,91,67,FALSE
"13",71,87,87,70,FALSE
"14",68,83,87,67,FALSE
"15",68,83,87,67,FALSE
"16",68,83,87,67,FALSE
"17",71,83,87,70,FALSE
"18",76,91,91,74,FALSE
"19",84,103,108,85,FALSE
"20",88,112,113,88,FALSE
"21",84,99,108,85,FALSE
"22",88,99,104,85,FALSE
"23",88,103,113,88,FALSE
"24",88,112,122,88,FALSE
"25",88,103,113,85,FALSE
"26",92,112,118,92,FALSE
"27",92,112,118,92,FALSE
"28",92,107,113,92,FALSE
"29",92,107,118,88,FALSE
"30",88,107,118,88,FALSE
"31",88,103,108,85,FALSE
"32",88,103,108,81,FALSE
"33",88,103,108,88,FALSE
"34",84,103,108,81,FALSE
"35",88,99,104,85,FALSE
"36",84,103,108,85,FALSE
"37",84,99,108,85,FALSE
"38",88,107,113,85,FALSE
"39",88,103,113,85,FALSE
"40",88,99,104,85,FALSE
"41",84,99,104,85,FALSE
"42",84,99,100,81,FALSE
"43",80,91,96,78,FALSE
"44",71,75,87,78,FALSE
"45",60,54,87,74,FALSE
"46",71,79,100,81,FALSE
"47",80,95,100,85,FALSE
"48",71,79,87,70,FALSE
"49",71,79,83,67,FALSE
"50",71,79,79,63,FALSE
"51",60,68,79,67,FALSE
"52",53,54,75,70,FALSE
"53",53,54,71,63,FALSE
"54",56,51,67,63,FALSE
"55",88,121,128,100,FALSE
"56",84,107,113,87,FALSE
"57",84,99,104,79,FALSE
"58",84,99,104,79,FALSE
"59",84,103,104,79,FALSE
"60",79,107,109,87,FALSE
"61",79,107,113,87,FALSE
"62",79,103,104,83,FALSE
"63",79,103,104,79,FALSE
"64",75,95,100,79,FALSE
"65",75,91,96,71,FALSE
"66",79,87,93,71,FALSE
"67",79,87,93,67,FALSE
"68",75,87,96,71,FALSE
"69",67,75,85,62,FALSE
"70",71,75,85,62,FALSE
"71",71,75,81,67,FALSE
"72",71,75,81,62,FALSE
"73",75,83,96,83,FALSE
"74",79,99,104,83,FALSE
